# erase_all.sr: DMI transactions decoded from the wire (t in ms from capture start)
   59.7173 W dmcontrol    40000001 st=00
  133.7917 W data1        4002200c st=00
  133.8229 W command      02200000 st=00
  133.8511 R data0        00000001 st=00
  133.8838 W data1        4002200c st=00
  133.9153 W command      02200000 st=00
  133.9440 R data0        00000001 st=00
  133.9772 W data1        4002200c st=00
  134.0088 W command      02200000 st=00
  134.0371 R data0        00000001 st=00
  134.0704 W data1        4002200c st=00
  134.1017 W command      02200000 st=00
  134.1301 R data0        00000001 st=00
  134.1623 W data1        4002200c st=00
  134.1939 W command      02200000 st=00
  134.2223 R data0        00000001 st=00
  134.2557 W data1        4002200c st=00
  134.2871 W command      02200000 st=00
  134.3159 R data0        00000001 st=00
  134.3488 W data1        4002200c st=00
  134.3803 W command      02200000 st=00
  134.4090 R data0        00000001 st=00
  134.4417 W data1        4002200c st=00
  134.4727 W command      02200000 st=00
  134.5011 R data0        00000001 st=00
  134.5337 W data1        4002200c st=00
  134.5648 W command      02200000 st=00
  134.5938 R data0        00000001 st=00
  134.6268 W data1        4002200c st=00
  134.6579 W command      02200000 st=00
  134.6870 R data0        00000001 st=00
  134.7196 W data1        4002200c st=00
  134.7512 W command      02200000 st=00
  134.7804 R data0        00000001 st=00
  134.8135 W data1        4002200c st=00
  134.8447 W command      02200000 st=00
  134.8729 R data0        00000001 st=00
  134.9079 W data1        4002200c st=00
  134.9400 W command      02200000 st=00
  134.9682 R data0        00000001 st=00
  135.0012 W data1        4002200c st=00
  135.0328 W command      02200000 st=00
  135.0613 R data0        00000001 st=00
  135.0953 W data1        4002200c st=00
  135.1265 W command      02200000 st=00
  135.1551 R data0        00000001 st=01
  135.1874 W data1        4002200c st=00
  135.2187 W command      02200000 st=00
  135.2469 R data0        00000001 st=00
  135.2797 W data1        4002200c st=00
  135.3122 W command      02200000 st=00
  135.3412 R data0        00000001 st=00
  135.3760 W data1        4002200c st=00
  135.4072 W command      02200000 st=00
  135.4359 R data0        00000001 st=00
  135.4684 W data1        4002200c st=00
  135.4999 W command      02200000 st=00
  135.5282 R data0        00000001 st=00
  135.5617 W data1        4002200c st=00
  135.5933 W command      02200000 st=00
  135.6216 R data0        00000001 st=00
  135.6544 W data1        4002200c st=00
  135.6860 W command      02200000 st=00
  135.7149 R data0        00000001 st=00
  135.7486 W data1        4002200c st=00
  135.7799 W command      02200000 st=00
  135.8086 R data0        00000001 st=00
  135.8421 W data1        4002200c st=00
  135.8737 W command      02200000 st=00
  135.9028 R data0        00000001 st=00
  135.9366 W data1        4002200c st=00
  135.9682 W command      02200000 st=00
  135.9970 R data0        00000001 st=00
  136.0317 W data1        4002200c st=00
  136.0637 W command      02200000 st=00
  136.0925 R data0        00000001 st=00
  136.1250 W data1        4002200c st=00
  136.1567 W command      02200000 st=00
  136.1856 R data0        00000001 st=00
  136.2181 W data1        4002200c st=00
  136.2498 W command      02200000 st=00
  136.2785 R data0        00000001 st=00
  136.3108 W data1        4002200c st=00
  136.3422 W command      02200000 st=00
  136.3711 R data0        00000001 st=00
  136.4043 W data1        4002200c st=00
  136.4354 W command      02200000 st=00
  136.4645 R data0        00000001 st=00
  136.4967 W data1        4002200c st=00
  136.5275 W command      02200000 st=00
  136.5562 R data0        00000001 st=00
  136.5891 W data1        4002200c st=00
  136.6203 W command      02200000 st=00
  136.6489 R data0        00000001 st=00
  136.6824 W data1        4002200c st=00
  136.7139 W command      02200000 st=00
  136.7427 R data0        00000001 st=00
  136.7762 W data1        4002200c st=00
  136.8077 W command      02200000 st=00
  136.8366 R data0        00000001 st=00
  136.8689 W data1        4002200c st=00
  136.8998 W command      02200000 st=00
  136.9282 R data0        00000001 st=00
  136.9608 W data1        4002200c st=00
  136.9931 W command      02200000 st=00
  137.0213 R data0        00000001 st=00
  137.0540 W data1        4002200c st=00
  137.0858 W command      02200000 st=00
  137.1141 R data0        00000001 st=00
  137.1474 W data1        4002200c st=00
  137.1788 W command      02200000 st=00
  137.2076 R data0        00000001 st=00
  137.2408 W data1        4002200c st=00
  137.2726 W command      02200000 st=00
  137.3007 R data0        00000001 st=00
  137.3346 W data1        4002200c st=00
  137.3668 W command      02200000 st=00
  137.3950 R data0        00000001 st=00
  137.4269 W data1        4002200c st=00
  137.4587 W command      02200000 st=00
  137.4872 R data0        00000001 st=00
  137.5203 W data1        4002200c st=00
  137.5524 W command      02200000 st=00
  137.5810 R data0        00000001 st=00
  137.6139 W data1        4002200c st=00
  137.6448 W command      02200000 st=00
  137.6732 R data0        00000001 st=00
  137.7060 W data1        4002200c st=00
  137.7377 W command      02200000 st=00
  137.7663 R data0        00000001 st=00
  137.7993 W data1        4002200c st=00
  137.8306 W command      02200000 st=00
  137.8592 R data0        00000001 st=00
  137.8918 W data1        4002200c st=00
  137.9231 W command      02200000 st=00
  137.9523 R data0        00000001 st=00
  137.9861 W data1        4002200c st=00
  138.0173 W command      02200000 st=00
  138.0459 R data0        00000001 st=00
  138.0790 W data1        4002200c st=00
  138.1112 W command      02200000 st=00
  138.1406 R data0        00000001 st=00
  138.1744 W data1        4002200c st=00
  138.2062 W command      02200000 st=00
  138.2350 R data0        00000001 st=00
  138.2682 W data1        4002200c st=00
  138.2998 W command      02200000 st=00
  138.3283 R data0        00000001 st=00
  138.3618 W data1        4002200c st=00
  138.3936 W command      02200000 st=00
  138.4221 R data0        00000001 st=00
  138.4551 W data1        4002200c st=00
  138.4871 W command      02200000 st=00
  138.5160 R data0        00000001 st=01
  138.5482 W data1        4002200c st=00
  138.5794 W command      02200000 st=00
  138.6079 R data0        00000001 st=00
  138.6412 W data1        4002200c st=00
  138.6730 W command      02200000 st=00
  138.7014 R data0        00000001 st=00
  138.7335 W data1        4002200c st=00
  138.7651 W command      02200000 st=00
  138.7935 R data0        00000001 st=00
  138.8266 W data1        4002200c st=00
  138.8581 W command      02200000 st=00
  138.8870 R data0        00000001 st=00
  138.9201 W data1        4002200c st=00
  138.9515 W command      02200000 st=00
  138.9802 R data0        00000001 st=00
  139.0129 W data1        4002200c st=00
  139.0445 W command      02200000 st=00
  139.0732 R data0        00000001 st=00
  139.1058 W data1        4002200c st=00
  139.1374 W command      02200000 st=00
  139.1667 R data0        00000001 st=00
  139.1999 W data1        4002200c st=00
  139.2308 W command      02200000 st=00
  139.2589 R data0        00000001 st=00
  139.2909 W data1        4002200c st=00
  139.3223 W command      02200000 st=00
  139.3508 R data0        00000001 st=01
  139.3837 W data1        4002200c st=00
  139.4149 W command      02200000 st=00
  139.4435 R data0        00000001 st=00
  139.4767 W data1        4002200c st=00
  139.5079 W command      02200000 st=00
  139.5359 R data0        00000001 st=00
  139.5680 W data1        4002200c st=00
  139.5994 W command      02200000 st=00
  139.6279 R data0        00000001 st=00
  139.6607 W data1        4002200c st=00
  139.6922 W command      02200000 st=00
  139.7208 R data0        00000001 st=00
  139.7532 W data1        4002200c st=00
  139.7848 W command      02200000 st=00
  139.8134 R data0        00000001 st=00
  139.8467 W data1        4002200c st=00
  139.8783 W command      02200000 st=00
  139.9072 R data0        00000001 st=00
  139.9412 W data1        4002200c st=00
  139.9727 W command      02200000 st=00
  140.0011 R data0        00000001 st=00
  140.0351 W data1        4002200c st=00
  140.0664 W command      02200000 st=00
  140.0946 R data0        00000001 st=00
  140.1277 W data1        4002200c st=00
  140.1591 W command      02200000 st=00
  140.1872 R data0        00000001 st=00
  140.2197 W data1        4002200c st=00
  140.2512 W command      02200000 st=00
  140.2795 R data0        00000001 st=01
  140.3131 W data1        4002200c st=00
  140.3445 W command      02200000 st=00
  140.3730 R data0        00000001 st=00
  140.4065 W data1        4002200c st=00
  140.4381 W command      02200000 st=00
  140.4667 R data0        00000001 st=00
  140.4997 W data1        4002200c st=00
  140.5307 W command      02200000 st=00
  140.5597 R data0        00000001 st=00
  140.5925 W data1        4002200c st=00
  140.6242 W command      02200000 st=00
  140.6525 R data0        00000020 st=00
  140.6858 W data1        40022010 st=00
  140.7172 W command      02200000 st=00
  140.7457 R data0        00000004 st=00
  140.7783 W data1        40022010 st=00
  140.8096 W data0        00000000 st=00
  140.8415 W command      02210000 st=00
  140.8735 W dmcontrol    40000001 st=00
  140.9029 R dmstatus     00000c82 st=01
  140.9338 R dmstatus     00000c82 st=00
  140.9680 W dmcontrol    80000001 st=00
  140.9997 W dmcontrol    80000001 st=00
  141.0282 R dmstatus     00000382 st=00
  141.4874 RAW17171 10010001000000000000000000000000000001010000010010111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110001000100000000000000000000000000000000011111110111111111111111111111111111111111111000100010000000000000000000000000000000001111111011111111111111111111111111111111111100010001000000000000000000000000000000000111111101111111111111111111111111111111111110
  187.8661 RAW5834 11111110111100001011010101001010000010000000000111111011111101111000101011010101001010000010000000000110011010010001000000000000000000000000000001110000010000111010010000100010010000000000000000000000000000001010111010010000100000110000000000000000000000000000001000011010010001001010100000000000000000000001110000010010111011111111011010100010000001100010000011100010000010011010000101111000100011111111111111111011100000100110011010010111111000100000010001000000000000000000000010011010000100011010000010000001100010000011100010000010111010000100100000100000000000000000000001100000000000011010010111111010000000000001000110000011111000000000011010000101111010101000000000000100001000000000000110011010010111111000000000010001000000000000000000000000111010000100011010000000000000100000111111110000011110111010000101111010101000000000000100001000000000000110111010000100101000000000000000100000111111110000011110011010010111111010100000010001000010000000000000000110111010000101111000001000000000000100001000000000100000111010010111111000100000010001000000000000000000000000011010000100011010000000000000000000000000000000000000111010000101111000001000000000000100001000000000100000111010000100101000000000000000000000000000000000000000011010010111111000000000010001000010000000000000000110111010000101111000101000000000000100001000000000000110111010010111111000000000010001000000000000000000000000111010000100011010000000000000100000111111110000011110111010000101111010001000000000000100001000000000000110011010000100100010000000000000100000111111110000011110111010010111111000000000010001000010000000000000000110011010000101111000001000000000000100001000000000000110011010010111111010000000010001000000000000000000000000111010000100011010100000000000100000111111110000011110111010000101111000001000000000000100001000000000000110111010000100101000000000000000100000111111110000011110111010010111111000000000010001000010000000000000000110011010000101111010001000000000000100001000000000100000111010010111111000000000010001000000000000000000000000011010000100011010100000000000000000000000000000000010111010000101111000101000000000000100001000000000100000011010000100100000100000000000000000000000000000000000111010010111111010000000010001000010000000000000000110011010000101111010001000000000000100001000000001000010111010000100100000000000000100111110000000000000000000011010010111111000100000010001000010000000000000000110111010000101111000001000000000000100011100000000000110011010010111111000000000010001000000000000000000000010111010000100011010000000000000000000010010011000000000111010000101111010001000000000000100011100000000000110111010000100101000100000000000000000010010011010000110011010010111111000000000010001000010000000000000000110111010000101111000001000000000000100010000000000000110111010010111111010000000010001000000000000000000000010011010000100011010000000000000000000000000000000000000111010000101111000001000000000000100010000000000000110011010000100101000100000000000000000000000000010000110111010010111111010000000010001000010000000000000000110011010000101111010101000000000000100010000000000000110111010010111111010000000010001000000000000000000000010011010000100011010100000000000000000000000000000000000111010000101111010001000000000000100010000000000000110111010000100100010100000000000000000000000000000001110111010010111111000000000010001000010000000000000000110011010000101111000001000000000000100001000000000100000111011001011111100000000001000100000000000000000000001001101000010001101010000000000000000000000000000000001011101000010111100010100000000000010000100000000010000011101000010010001000000000000000000000001000000000011001101001011111100010000001000100001000000000000000011001101000010111100010100000000000010000100000000010000011101001011111100000000001000100000000000000000000000011101000010001101000000000000000000000001000000000011011101000010111101010100000000000010000100000000010001011101000010010100010000000000000000000001000000000011001101001011111100000000001000100001000000000000000011011101000010111101000100000000000010000100000000010000001101001011111100010000001000100000000000000000000000001101000010001101000000000000000000000001000000000011011101000010111100000100000000000010000100000000010000011101000010010000000000000000011100000001000000000001011101001011111101010000001000100001000000000000000011011101000010111100010100000000000010000100000000000011011101001011111100010000001000100000000000000000000000001101000010001101000000000000010000011111111000001111001101000010111100000100000000000010000100000000000011001101000010010100010000000100010000011111111000001101011101001011111101000000001000100001000000000000000011001101000010111101000100000000000010000100000000000011001101001011111101010000001000100000000000000000000000011101000010001101000000000100010000011111111000001100011101000010111100010100000000000010000100000000000011011101001011111100000000001000100000000000000000000000001101000010001101000000001100010000011111111000001111011101000010111101010100000000000010000100000000010001011101001011111101000000001000100000000000000000000001001101000010001101000000000000011100000001000000000001011101000010111101010100000000000010000100000000010000001101000010010100000000000000011100000001000000000000001101001011111101010000001000100001000000000000000011011101000010111101000100000000000010000100000000010001011101001011111100010000001000100000000000000000000001001101000010001101000000000000011100000001000000000000011101000010111100000100000000000010000100000000010001001101000010010100000000000000011100000001000000001011001101001011111101000000001000100001000000000000000011001101000010111100010100000000000010000100000000010001001101001011111100000000001000100000000000000000000000001101000010001101010000000000011100000001000000101000011101
  201.2849 W data1        40022010 st=00
  201.3168 W data0        00008080 st=00
  201.3480 W command      02210000 st=00
  201.3800 W data1        4002200c st=00
  201.4108 W data0        0000b020 st=00
  201.4423 W command      02210000 st=00
  202.0371 W dmcontrol    40000001 st=00
  202.0656 R dmstatus     00000c82 st=00
  202.0992 W dmcontrol    00000000 st=00
